instant,date,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,total_count
139,2011-05-19,Musim Panas,2011,May,0,Thursday,1,Mist or Cloudy,735,3840,4575
140,2011-05-20,Musim Panas,2011,May,0,Friday,1,Clear or Partly Cloudy,909,4008,4917
141,2011-05-21,Musim Panas,2011,May,0,Saturday,0,Clear or Partly Cloudy,2258,3547,5805
142,2011-05-22,Musim Panas,2011,May,0,Sunday,0,Clear or Partly Cloudy,1576,3084,4660
143,2011-05-23,Musim Panas,2011,May,0,Monday,1,Mist or Cloudy,836,3438,4274
144,2011-05-24,Musim Panas,2011,May,0,Tuesday,1,Mist or Cloudy,659,3833,4492
145,2011-05-25,Musim Panas,2011,May,0,Wednesday,1,Clear or Partly Cloudy,740,4238,4978
146,2011-05-26,Musim Panas,2011,May,0,Thursday,1,Clear or Partly Cloudy,758,3919,4677
147,2011-05-27,Musim Panas,2011,May,0,Friday,1,Clear or Partly Cloudy,871,3808,4679
148,2011-05-28,Musim Panas,2011,May,0,Saturday,0,Clear or Partly Cloudy,2001,2757,4758
149,2011-05-29,Musim Panas,2011,May,0,Sunday,0,Clear or Partly Cloudy,2355,2433,4788
150,2011-05-30,Musim Panas,2011,May,1,Monday,0,Clear or Partly Cloudy,1549,2549,4098
151,2011-05-31,Musim Panas,2011,May,0,Tuesday,1,Clear or Partly Cloudy,673,3309,3982
152,2011-06-01,Musim Panas,2011,June,0,Wednesday,1,Mist or Cloudy,513,3461,3974
153,2011-06-02,Musim Panas,2011,June,0,Thursday,1,Clear or Partly Cloudy,736,4232,4968
154,2011-06-03,Musim Panas,2011,June,0,Friday,1,Clear or Partly Cloudy,898,4414,5312
155,2011-06-04,Musim Panas,2011,June,0,Saturday,0,Clear or Partly Cloudy,1869,3473,5342
156,2011-06-05,Musim Panas,2011,June,0,Sunday,0,Mist or Cloudy,1685,3221,4906
157,2011-06-06,Musim Panas,2011,June,0,Monday,1,Clear or Partly Cloudy,673,3875,4548
158,2011-06-07,Musim Panas,2011,June,0,Tuesday,1,Clear or Partly Cloudy,763,4070,4833
159,2011-06-08,Musim Panas,2011,June,0,Wednesday,1,Clear or Partly Cloudy,676,3725,4401
160,2011-06-09,Musim Panas,2011,June,0,Thursday,1,Mist or Cloudy,563,3352,3915
161,2011-06-10,Musim Panas,2011,June,0,Friday,1,Clear or Partly Cloudy,815,3771,4586
162,2011-06-11,Musim Panas,2011,June,0,Saturday,0,Clear or Partly Cloudy,1729,3237,4966
163,2011-06-12,Musim Panas,2011,June,0,Sunday,0,Clear or Partly Cloudy,1467,2993,4460
164,2011-06-13,Musim Panas,2011,June,0,Monday,1,Clear or Partly Cloudy,863,4157,5020
165,2011-06-14,Musim Panas,2011,June,0,Tuesday,1,Clear or Partly Cloudy,727,4164,4891
166,2011-06-15,Musim Panas,2011,June,0,Wednesday,1,Clear or Partly Cloudy,769,4411,5180
167,2011-06-16,Musim Panas,2011,June,0,Thursday,1,Mist or Cloudy,545,3222,3767
168,2011-06-17,Musim Panas,2011,June,0,Friday,1,Clear or Partly Cloudy,863,3981,4844
169,2011-06-18,Musim Panas,2011,June,0,Saturday,0,Clear or Partly Cloudy,1807,3312,5119
170,2011-06-19,Musim Panas,2011,June,0,Sunday,0,Mist or Cloudy,1639,3105,4744
171,2011-06-20,Musim Panas,2011,June,0,Monday,1,Mist or Cloudy,699,3311,4010
172,2011-06-21,Musim Gugur,2011,June,0,Tuesday,1,Mist or Cloudy,774,4061,4835
173,2011-06-22,Musim Gugur,2011,June,0,Wednesday,1,Clear or Partly Cloudy,661,3846,4507
174,2011-06-23,Musim Gugur,2011,June,0,Thursday,1,Mist or Cloudy,746,4044,4790
175,2011-06-24,Musim Gugur,2011,June,0,Friday,1,Clear or Partly Cloudy,969,4022,4991
176,2011-06-25,Musim Gugur,2011,June,0,Saturday,0,Clear or Partly Cloudy,1782,3420,5202
177,2011-06-26,Musim Gugur,2011,June,0,Sunday,0,Clear or Partly Cloudy,1920,3385,5305
178,2011-06-27,Musim Gugur,2011,June,0,Monday,1,Mist or Cloudy,854,3854,4708
179,2011-06-28,Musim Gugur,2011,June,0,Tuesday,1,Clear or Partly Cloudy,732,3916,4648
180,2011-06-29,Musim Gugur,2011,June,0,Wednesday,1,Clear or Partly Cloudy,848,4377,5225
181,2011-06-30,Musim Gugur,2011,June,0,Thursday,1,Clear or Partly Cloudy,1027,4488,5515
182,2011-07-01,Musim Gugur,2011,July,0,Friday,1,Clear or Partly Cloudy,1246,4116,5362
183,2011-07-02,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,2204,2915,5119
184,2011-07-03,Musim Gugur,2011,July,0,Sunday,0,Mist or Cloudy,2282,2367,4649
185,2011-07-04,Musim Gugur,2011,July,1,Monday,0,Mist or Cloudy,3065,2978,6043
186,2011-07-05,Musim Gugur,2011,July,0,Tuesday,1,Clear or Partly Cloudy,1031,3634,4665
187,2011-07-06,Musim Gugur,2011,July,0,Wednesday,1,Clear or Partly Cloudy,784,3845,4629
188,2011-07-07,Musim Gugur,2011,July,0,Thursday,1,Clear or Partly Cloudy,754,3838,4592
189,2011-07-08,Musim Gugur,2011,July,0,Friday,1,Mist or Cloudy,692,3348,4040
190,2011-07-09,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,1988,3348,5336
191,2011-07-10,Musim Gugur,2011,July,0,Sunday,0,Clear or Partly Cloudy,1743,3138,4881
192,2011-07-11,Musim Gugur,2011,July,0,Monday,1,Clear or Partly Cloudy,723,3363,4086
193,2011-07-12,Musim Gugur,2011,July,0,Tuesday,1,Clear or Partly Cloudy,662,3596,4258
194,2011-07-13,Musim Gugur,2011,July,0,Wednesday,1,Clear or Partly Cloudy,748,3594,4342
195,2011-07-14,Musim Gugur,2011,July,0,Thursday,1,Clear or Partly Cloudy,888,4196,5084
196,2011-07-15,Musim Gugur,2011,July,0,Friday,1,Clear or Partly Cloudy,1318,4220,5538
197,2011-07-16,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,2418,3505,5923
198,2011-07-17,Musim Gugur,2011,July,0,Sunday,0,Clear or Partly Cloudy,2006,3296,5302
199,2011-07-18,Musim Gugur,2011,July,0,Monday,1,Clear or Partly Cloudy,841,3617,4458
200,2011-07-19,Musim Gugur,2011,July,0,Tuesday,1,Clear or Partly Cloudy,752,3789,4541
201,2011-07-20,Musim Gugur,2011,July,0,Wednesday,1,Clear or Partly Cloudy,644,3688,4332
202,2011-07-21,Musim Gugur,2011,July,0,Thursday,1,Mist or Cloudy,632,3152,3784
203,2011-07-22,Musim Gugur,2011,July,0,Friday,1,Clear or Partly Cloudy,562,2825,3387
204,2011-07-23,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,987,2298,3285
205,2011-07-24,Musim Gugur,2011,July,0,Sunday,0,Clear or Partly Cloudy,1050,2556,3606
206,2011-07-25,Musim Gugur,2011,July,0,Monday,1,Clear or Partly Cloudy,568,3272,3840
207,2011-07-26,Musim Gugur,2011,July,0,Tuesday,1,Clear or Partly Cloudy,750,3840,4590
208,2011-07-27,Musim Gugur,2011,July,0,Wednesday,1,Clear or Partly Cloudy,755,3901,4656
209,2011-07-28,Musim Gugur,2011,July,0,Thursday,1,Clear or Partly Cloudy,606,3784,4390
210,2011-07-29,Musim Gugur,2011,July,0,Friday,1,Clear or Partly Cloudy,670,3176,3846
211,2011-07-30,Musim Gugur,2011,July,0,Saturday,0,Clear or Partly Cloudy,1559,2916,4475
212,2011-07-31,Musim Gugur,2011,July,0,Sunday,0,Clear or Partly Cloudy,1524,2778,4302
213,2011-08-01,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,729,3537,4266
214,2011-08-02,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,801,4044,4845
215,2011-08-03,Musim Gugur,2011,August,0,Wednesday,1,Mist or Cloudy,467,3107,3574
216,2011-08-04,Musim Gugur,2011,August,0,Thursday,1,Mist or Cloudy,799,3777,4576
217,2011-08-05,Musim Gugur,2011,August,0,Friday,1,Clear or Partly Cloudy,1023,3843,4866
218,2011-08-06,Musim Gugur,2011,August,0,Saturday,0,Mist or Cloudy,1521,2773,4294
219,2011-08-07,Musim Gugur,2011,August,0,Sunday,0,Clear or Partly Cloudy,1298,2487,3785
220,2011-08-08,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,846,3480,4326
221,2011-08-09,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,907,3695,4602
222,2011-08-10,Musim Gugur,2011,August,0,Wednesday,1,Clear or Partly Cloudy,884,3896,4780
223,2011-08-11,Musim Gugur,2011,August,0,Thursday,1,Clear or Partly Cloudy,812,3980,4792
224,2011-08-12,Musim Gugur,2011,August,0,Friday,1,Clear or Partly Cloudy,1051,3854,4905
225,2011-08-13,Musim Gugur,2011,August,0,Saturday,0,Mist or Cloudy,1504,2646,4150
226,2011-08-14,Musim Gugur,2011,August,0,Sunday,0,Mist or Cloudy,1338,2482,3820
227,2011-08-15,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,775,3563,4338
228,2011-08-16,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,721,4004,4725
229,2011-08-17,Musim Gugur,2011,August,0,Wednesday,1,Clear or Partly Cloudy,668,4026,4694
230,2011-08-18,Musim Gugur,2011,August,0,Thursday,1,Clear or Partly Cloudy,639,3166,3805
231,2011-08-19,Musim Gugur,2011,August,0,Friday,1,Mist or Cloudy,797,3356,4153
232,2011-08-20,Musim Gugur,2011,August,0,Saturday,0,Clear or Partly Cloudy,1914,3277,5191
233,2011-08-21,Musim Gugur,2011,August,0,Sunday,0,Clear or Partly Cloudy,1249,2624,3873
234,2011-08-22,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,833,3925,4758
235,2011-08-23,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,1281,4614,5895
236,2011-08-24,Musim Gugur,2011,August,0,Wednesday,1,Clear or Partly Cloudy,949,4181,5130
237,2011-08-25,Musim Gugur,2011,August,0,Thursday,1,Mist or Cloudy,435,3107,3542
238,2011-08-26,Musim Gugur,2011,August,0,Friday,1,Clear or Partly Cloudy,768,3893,4661
239,2011-08-27,Musim Gugur,2011,August,0,Saturday,0,Mist or Cloudy,226,889,1115
240,2011-08-28,Musim Gugur,2011,August,0,Sunday,0,Clear or Partly Cloudy,1415,2919,4334
241,2011-08-29,Musim Gugur,2011,August,0,Monday,1,Clear or Partly Cloudy,729,3905,4634
242,2011-08-30,Musim Gugur,2011,August,0,Tuesday,1,Clear or Partly Cloudy,775,4429,5204
243,2011-08-31,Musim Gugur,2011,August,0,Wednesday,1,Clear or Partly Cloudy,688,4370,5058
244,2011-09-01,Musim Gugur,2011,September,0,Thursday,1,Clear or Partly Cloudy,783,4332,5115
245,2011-09-02,Musim Gugur,2011,September,0,Friday,1,Mist or Cloudy,875,3852,4727
246,2011-09-03,Musim Gugur,2011,September,0,Saturday,0,Clear or Partly Cloudy,1935,2549,4484
247,2011-09-04,Musim Gugur,2011,September,0,Sunday,0,Clear or Partly Cloudy,2521,2419,4940
248,2011-09-05,Musim Gugur,2011,September,1,Monday,0,Mist or Cloudy,1236,2115,3351
249,2011-09-06,Musim Gugur,2011,September,0,Tuesday,1,Light Snow or Rain with Thunderstorms,204,2506,2710
250,2011-09-07,Musim Gugur,2011,September,0,Wednesday,1,Light Snow or Rain with Thunderstorms,118,1878,1996
251,2011-09-08,Musim Gugur,2011,September,0,Thursday,1,Light Snow or Rain with Thunderstorms,153,1689,1842
252,2011-09-09,Musim Gugur,2011,September,0,Friday,1,Mist or Cloudy,417,3127,3544
253,2011-09-10,Musim Gugur,2011,September,0,Saturday,0,Clear or Partly Cloudy,1750,3595,5345
254,2011-09-11,Musim Gugur,2011,September,0,Sunday,0,Clear or Partly Cloudy,1633,3413,5046
255,2011-09-12,Musim Gugur,2011,September,0,Monday,1,Clear or Partly Cloudy,690,4023,4713
256,2011-09-13,Musim Gugur,2011,September,0,Tuesday,1,Clear or Partly Cloudy,701,4062,4763
257,2011-09-14,Musim Gugur,2011,September,0,Wednesday,1,Clear or Partly Cloudy,647,4138,4785
258,2011-09-15,Musim Gugur,2011,September,0,Thursday,1,Mist or Cloudy,428,3231,3659
259,2011-09-16,Musim Gugur,2011,September,0,Friday,1,Mist or Cloudy,742,4018,4760
260,2011-09-17,Musim Gugur,2011,September,0,Saturday,0,Mist or Cloudy,1434,3077,4511
261,2011-09-18,Musim Gugur,2011,September,0,Sunday,0,Clear or Partly Cloudy,1353,2921,4274
262,2011-09-19,Musim Gugur,2011,September,0,Monday,1,Mist or Cloudy,691,3848,4539
263,2011-09-20,Musim Gugur,2011,September,0,Tuesday,1,Mist or Cloudy,438,3203,3641
264,2011-09-21,Musim Gugur,2011,September,0,Wednesday,1,Mist or Cloudy,539,3813,4352
265,2011-09-22,Musim Gugur,2011,September,0,Thursday,1,Mist or Cloudy,555,4240,4795
266,2011-09-23,Musim Dingin,2011,September,0,Friday,1,Mist or Cloudy,258,2137,2395
267,2011-09-24,Musim Dingin,2011,September,0,Saturday,0,Mist or Cloudy,1776,3647,5423
268,2011-09-25,Musim Dingin,2011,September,0,Sunday,0,Mist or Cloudy,1544,3466,5010
269,2011-09-26,Musim Dingin,2011,September,0,Monday,1,Mist or Cloudy,684,3946,4630
270,2011-09-27,Musim Dingin,2011,September,0,Tuesday,1,Mist or Cloudy,477,3643,4120
271,2011-09-28,Musim Dingin,2011,September,0,Wednesday,1,Mist or Cloudy,480,3427,3907
272,2011-09-29,Musim Dingin,2011,September,0,Thursday,1,Clear or Partly Cloudy,653,4186,4839
273,2011-09-30,Musim Dingin,2011,September,0,Friday,1,Clear or Partly Cloudy,830,4372,5202
274,2011-10-01,Musim Dingin,2011,October,0,Saturday,0,Mist or Cloudy,480,1949,2429
275,2011-10-02,Musim Dingin,2011,October,0,Sunday,0,Mist or Cloudy,616,2302,2918
